tempo,erro
10, 1.69363e-11
20, -1.47801e-07
30, -4.92895e-08
40, -3.68611e-08
50, -2.77056e-08
60, -2.1147e-08
70, -1.53628e-08
80, -9.539e-09
90, -1.78821e-08
100, -1.38499e-08
110, -3.45232e-08
120, -1.42189e-07
130, -1.10601e-07
140, -9.68097e-08
150, -5.19479e-08
160, -5.58485e-08
170, -5.35036e-08
180, -1.95599e-07
190, -2.51437e-07
200, -2.47102e-07
210, -2.25462e-07
220, -2.16505e-07
230, -2.94911e-07
240, -3.66602e-07
250, -3.65145e-07
260, -2.71546e-07
270, -2.74549e-07
280, -3.09864e-07
290, -1.95451e-07
300, -2.83913e-07
310, -3.28292e-07
320, -3.4428e-07
330, -3.38994e-07
340, -1.29872e-07
350, -2.88982e-08
360, 1.24161e-07
370, 1.23089e-07
380, 1.12253e-07
390, 5.5448e-08
400, 3.53654e-07
410, 2.10686e-07
420, -9.52464e-08
430, 5.23492e-07
440, 2.34629e-07
450, 1.57133e-08
460, -2.76286e-08
470, -3.5155e-07
480, -2.67898e-07
490, -1.62707e-07
500, -2.91888e-07
510, -6.78851e-08
520, 2.99455e-07
530, -3.60108e-07
540, 3.01145e-07
550, 2.30587e-07
560, 3.00293e-07
570, 7.58511e-08
580, 9.00536e-08
590, 1.6195e-07
600, 8.5549e-07
610, 5.41632e-07
620, 1.08364e-07
630, -1.09954e-07
640, -2.86403e-07
650, -5.5841e-07
660, -8.72818e-07
670, -1.28027e-06
680, -1.58688e-06
690, -1.67987e-06
700, -1.41454e-06
710, -1.04601e-06
720, -1.9386e-06
730, -2.22309e-06
740, -2.00768e-06
750, -2.67899e-06
760, -2.46114e-06
770, -2.42792e-06
780, -2.07728e-06
790, -2.02361e-06
800, -1.51718e-06
810, -1.30201e-06
820, -1.25387e-06
830, -1.71695e-06
840, -1.89127e-06
850, -2.07197e-06
860, -1.98346e-06
870, -2.27347e-06
880, -3.19455e-06
890, -3.12473e-06
900, -3.0385e-06
910, -2.8629e-06
920, -2.71404e-06
930, -3.34127e-06
940, -3.36455e-06
950, -5.00336e-06
960, -5.0742e-06
970, -5.84237e-06
980, -7.08487e-06
990, -5.86475e-06
1000, -5.96405e-06
1010, -6.51011e-06
1020, -6.53064e-06
1030, -7.92716e-06
1040, -8.44606e-06
1050, -6.885e-06
1060, -6.30972e-06
1070, -6.53026e-06
1080, -6.77116e-06
1090, -6.37656e-06
1100, -5.66417e-06
1110, -5.7925e-06
1120, -4.29505e-06
1130, -3.7187e-06
1140, -3.82405e-06
1150, -3.85281e-06
1160, -3.97335e-06
1170, -2.56443e-06
1180, -2.45839e-06
1190, -2.11928e-06
1200, -1.54151e-06
1210, -1.35935e-06
1220, -2.26043e-07
1230, 2.96333e-07
